Geography,Question Code,Question Text,Response Category,Response Variable,Gender,Value
Honduras,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,7.66
Nicaragua,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,8.30
Nicaragua,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,7.28
Nicaragua,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,7.79
Panama,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,7.65
Panama,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,6.70
Panama,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,7.21
Paraguay,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,8.68
Paraguay,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,7.15
Paraguay,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,7.90
Peru,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,7.90
Peru,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,6.83
Peru,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,7.42
Uruguay,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,8.70
Uruguay,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,8.16
Uruguay,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,8.39
Mexico,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,61.00
Mexico,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,70.00
Mexico,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,66.00
Argentina,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,63.00
Argentina,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,67.00
Argentina,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,65.00
Bolivia,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,75.00
Bolivia,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,78.00
Bolivia,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,77.00
Brazil,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,39.00
Brazil,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,50.00
Brazil,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,54.00
Chile,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,67.00
Chile,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,66.00
Chile,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,66.00
Colombia,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,72.00
Colombia,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,77.00
Colombia,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,75.00
Costa Rica,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,65.00
Costa Rica,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,72.00
Costa Rica,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,69.00
Ecuador,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,77.00
Ecuador,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,85.00
Ecuador,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,81.00
El Salvador,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,73.00
El Salvador,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,79.00
El Salvador,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,76.00
Guatemala,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,72.00
Guatemala,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,78.00
Guatemala,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,75.00
Haiti,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,81.00
Haiti,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,85.00
Haiti,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,82.00
Honduras,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,76.00
Honduras,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,78.00
Honduras,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,77.00
Nicaragua,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,72.00
Nicaragua,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,77.00
Nicaragua,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,75.00
Panama,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,75.00
Panama,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,74.00
Panama,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,74.00
Paraguay,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,67.00
Paraguay,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,70.00
Paraguay,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,69.00
Peru,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,73.00
Peru,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,73.00
Peru,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,73.00
Uruguay,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,male,47.00
Uruguay,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,female,43.00
Uruguay,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,b10_yes,combined,56.00
Mexico,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,39.00
Mexico,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,30.00
Mexico,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,34.00
Argentina,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,37.00
Argentina,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,33.00
Argentina,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,35.00
Bolivia,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,25.00
Bolivia,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,22.00
Bolivia,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,23.00
Brazil,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,39.00
Brazil,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,50.00
Brazil,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,46.00
Chile,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,33.00
Chile,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,34.00
Chile,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,34.00
Colombia,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,28.00
Colombia,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,23.00
Colombia,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,25.00
Costa Rica,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,35.00
Costa Rica,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,28.00
Costa Rica,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,31.00
Ecuador,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,23.00
Ecuador,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,15.00
Ecuador,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,19.00
El Salvador,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,27.00
El Salvador,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,21.00
El Salvador,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,24.00
Guatemala,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,28.00
Guatemala,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,22.00
Guatemala,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,25.00
Haiti,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,19.00
Haiti,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,15.00
Haiti,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,18.00
Honduras,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,24.00
Honduras,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,22.00
Honduras,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,23.00
Nicaragua,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,28.00
Nicaragua,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,23.00
Nicaragua,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,25.00
Panama,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,25.00
Panama,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,26.00
Panama,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,26.00
Paraguay,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,33.00
Paraguay,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,30.00
Paraguay,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,31.00
Peru,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,27.00
Peru,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,27.00
Peru,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,27.00
Uruguay,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,male,47.00
Uruguay,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,female,43.00
Uruguay,B.10,"During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,b10_no,combined,45.00
Mexico,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,63.00
Mexico,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,41.00
Mexico,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,51.00
Argentina,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,70.00
Argentina,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,55.00
Argentina,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,61.00
Bolivia,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,57.00
Bolivia,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,44.00
Bolivia,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,50.00
Brazil,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,68.00
Brazil,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,56.00
Brazil,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,61.00
Chile,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,73.00
Chile,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,59.00
Chile,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,65.00
Colombia,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,57.00
Colombia,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,47.00
Colombia,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,51.00
Costa Rica,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,69.00
Costa Rica,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,43.00
Costa Rica,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,54.00
Ecuador,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,53.00
Ecuador,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,35.00
Ecuador,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,44.00
El Salvador,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,64.00
El Salvador,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,46.00
El Salvador,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,55.00
Guatemala,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,62.00
Guatemala,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,37.00
Guatemala,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,50.00
Haiti,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,60.00
Haiti,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,44.00
Haiti,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,54.00
Honduras,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,54.00
Honduras,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,37.00
Honduras,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,45.00
Nicaragua,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,59.00
Nicaragua,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,43.00
Nicaragua,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,51.00
Panama,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,73.00
Panama,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,54.00
Panama,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,63.00
Paraguay,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,67.00
Paraguay,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,48.00
Paraguay,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,56.00
Peru,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,57.00
Peru,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,38.00
Peru,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,48.00
Uruguay,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,male,76.00
Uruguay,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,female,58.00
Uruguay,B.2,Who are the main income earners in your household? (including earnings sent from another area/country),Self,b2_self,combined,64.00
Mexico,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,31.00
Mexico,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,54.00
Mexico,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,43.00
Argentina,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,36.00
Argentina,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,49.00
Argentina,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,44.00
Bolivia,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,37.00
Bolivia,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,54.00
Bolivia,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,46.00
Brazil,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,66.00
Brazil,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,52.00
Brazil,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,58.00
Chile,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,33.00
Chile,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,53.00
Chile,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,44.00
Colombia,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,42.00
Colombia,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,57.00
Colombia,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,51.00
Costa Rica,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,35.00
Costa Rica,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,61.00
Costa Rica,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,49.00
Ecuador,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,46.00
Ecuador,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,63.00
Ecuador,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,55.00
El Salvador,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,39.00
El Salvador,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,51.00
El Salvador,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,45.00
Guatemala,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,33.00
Guatemala,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,60.00
Guatemala,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,46.00
Haiti,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,41.00
Haiti,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,45.00
Haiti,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,42.00
Honduras,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,41.00
Honduras,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,60.00
Honduras,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,51.00
Nicaragua,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,36.00
Nicaragua,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,56.00
Nicaragua,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,46.00
Panama,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,29.00
Panama,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,54.00
Panama,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,42.00
Paraguay,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,32.00
Paraguay,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,48.00
Paraguay,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,combined,41.00
Peru,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,male,35.00
Peru,B.3,"During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,b3_dependent,female,58.00
